date,amount
'01/01/2010',96
'01/02/2010',96
'01/03/2010',51
'01/04/2010',73
'01/05/2010',88
'01/06/2010',96
'01/07/2010',111
'01/08/2010',117
'01/09/2010',130
'01/10/2010',86
'01/11/2010',85
'01/12/2010',65
'01/13/2010',112
'01/14/2010',84
'01/15/2010',136
'01/16/2010',174
'01/17/2010',149
'01/18/2010',117
'01/19/2010',92
'01/20/2010',134
'01/21/2010',129
'01/22/2010',178
'01/23/2010',170
'01/24/2010',138
'01/25/2010',114
'01/26/2010',136
'01/27/2010',127
'01/28/2010',109
'01/29/2010',106
'01/30/2010',172
'01/31/2010',137
'02/01/2010',103
'02/02/2010',110
'02/03/2010',104
'02/04/2010',134
'02/05/2010',157
'02/06/2010',136
'02/07/2010',125
'02/08/2010',98
'02/09/2010',96
'02/10/2010',52
'02/11/2010',56
'02/12/2010',110
'02/13/2010',124
'02/14/2010',122
'02/15/2010',130
'02/16/2010',99
'02/17/2010',122
'02/18/2010',107
'02/19/2010',147
'02/20/2010',210
'02/21/2010',171
'02/22/2010',84
'02/23/2010',90
'02/24/2010',97
'02/25/2010',98
'02/26/2010',57
'02/27/2010',148
'02/28/2010',169
'03/01/2010',82
'03/02/2010',114
'03/03/2010',90
'03/04/2010',127
'03/05/2010',123
'03/06/2010',245
'03/07/2010',180
'03/08/2010',116
'03/09/2010',143
'03/10/2010',152
'03/11/2010',143
'03/12/2010',127
'03/13/2010',91
'03/14/2010',73
'03/15/2010',111
'03/16/2010',152
'03/17/2010',196
'03/18/2010',224
'03/19/2010',277
'03/20/2010',384
'03/21/2010',272
'03/22/2010',149
'03/23/2010',119
'03/24/2010',131
'03/25/2010',185
'03/26/2010',121
'03/27/2010',207
'03/28/2010',130
'03/29/2010',76
'03/30/2010',80
'03/31/2010',167
'04/01/2010',170
'04/02/2010',255
'04/03/2010',245
'04/04/2010',294
'04/05/2010',243
'04/06/2010',266
'04/07/2010',260
'04/08/2010',295
'04/09/2010',171
'04/10/2010',268
'04/11/2010',325
'04/12/2010',208
'04/13/2010',140
'04/14/2010',214
'04/15/2010',236
'04/16/2010',158
'04/17/2010',217
'04/18/2010',234
'04/19/2010',178
'04/20/2010',147
'04/21/2010',199
'04/22/2010',216
'04/23/2010',284
'04/24/2010',362
'04/25/2010',160
'04/26/2010',124
'04/27/2010',145
'04/28/2010',139
'04/29/2010',227
'04/30/2010',351
'05/01/2010',406
'05/02/2010',379
'05/03/2010',198
'05/04/2010',305
'05/05/2010',309
'05/06/2010',332
'05/07/2010',255
'05/08/2010',274
'05/09/2010',154
'05/10/2010',186
'05/11/2010',208
'05/12/2010',137
'05/13/2010',207
'05/14/2010',256
'05/15/2010',365
'05/16/2010',363
'05/17/2010',301
'05/18/2010',155
'05/19/2010',207
'05/20/2010',339
'05/21/2010',323
'05/22/2010',475
'05/23/2010',374
'05/24/2010',265
'05/25/2010',302
'05/26/2010',298
'05/27/2010',226
'05/28/2010',306
'05/29/2010',400
'05/30/2010',372
'05/31/2010',421
'06/01/2010',195
'06/02/2010',185
'06/03/2010',184
'06/04/2010',254
'06/05/2010',325
'06/06/2010',272
'06/07/2010',246
'06/08/2010',279
'06/09/2010',154
'06/10/2010',264
'06/11/2010',278
'06/12/2010',436
'06/13/2010',364
'06/14/2010',223
'06/15/2010',326
'06/16/2010',256
'06/17/2010',237
'06/18/2010',319
'06/19/2010',435
'06/20/2010',295
'06/21/2010',322
'06/22/2010',207
'06/23/2010',177
'06/24/2010',179
'06/25/2010',246
'06/26/2010',342
'06/27/2010',211
'06/28/2010',135
'06/29/2010',133
'06/30/2010',224
'07/01/2010',237
'07/02/2010',240
'07/03/2010',304
'07/04/2010',182
'07/05/2010',156
'07/06/2010',125
'07/07/2010',112
'07/08/2010',176
'07/09/2010',204
'07/10/2010',308
'07/11/2010',243
'07/12/2010',183
'07/13/2010',167
'07/14/2010',169
'07/15/2010',235
'07/16/2010',203
'07/17/2010',333
'07/18/2010',203
'07/19/2010',152
'07/20/2010',192
'07/21/2010',149
'07/22/2010',176
'07/23/2010',169
'07/24/2010',246
'07/25/2010',206
'07/26/2010',176
'07/27/2010',225
'07/28/2010',227
'07/29/2010',199
'07/30/2010',241
'07/31/2010',313
'08/01/2010',253
'08/02/2010',215
'08/03/2010',260
'08/04/2010',209
'08/05/2010',186
'08/06/2010',220
'08/07/2010',379
'08/08/2010',301
'08/09/2010',214
'08/10/2010',178
'08/11/2010',192
'08/12/2010',179
'08/13/2010',288
'08/14/2010',436
'08/15/2010',228
'08/16/2010',152
'08/17/2010',196
'08/18/2010',168
'08/19/2010',239
'08/20/2010',235
'08/21/2010',440
'08/22/2010',187
'08/23/2010',145
'08/24/2010',225
'08/25/2010',220
'08/26/2010',295
'08/27/2010',311
'08/28/2010',525
'08/29/2010',323
'08/30/2010',194
'08/31/2010',126
'09/01/2010',199
'09/02/2010',182
'09/03/2010',196
'09/04/2010',377
'09/05/2010',362
'09/06/2010',340
'09/07/2010',211
'09/08/2010',186
'09/09/2010',229
'09/10/2010',326
'09/11/2010',395
'09/12/2010',314
'09/13/2010',194
'09/14/2010',269
'09/15/2010',243
'09/16/2010',180
'09/17/2010',246
'09/18/2010',419
'09/19/2010',368
'09/20/2010',243
'09/21/2010',249
'09/22/2010',236
'09/23/2010',312
'09/24/2010',286
'09/25/2010',346
'09/26/2010',376
'09/27/2010',187
'09/28/2010',198
'09/29/2010',288
'09/30/2010',188
'10/01/2010',212
'10/02/2010',384
'10/03/2010',293
'10/04/2010',146
'10/05/2010',179
'10/06/2010',201
'10/07/2010',224
'10/08/2010',306
'10/09/2010',313
'10/10/2010',350
'10/11/2010',233
'10/12/2010',224
'10/13/2010',239
'10/14/2010',196
'10/15/2010',175
'10/16/2010',258
'10/17/2010',296
'10/18/2010',166
'10/19/2010',200
'10/20/2010',168
'10/21/2010',176
'10/22/2010',181
'10/23/2010',298
'10/24/2010',321
'10/25/2010',232
'10/26/2010',247
'10/27/2010',189
'10/28/2010',261
'10/29/2010',211
'10/30/2010',246
'10/31/2010',188
'11/01/2010',106
'11/02/2010',182
'11/03/2010',208
'11/04/2010',154
'11/05/2010',179
'11/06/2010',235
'11/07/2010',212
'11/08/2010',125
'11/09/2010',197
'11/10/2010',180
'11/11/2010',141
'11/12/2010',204
'11/13/2010',343
'11/14/2010',231
'11/15/2010',189
'11/16/2010',158
'11/17/2010',142
'11/18/2010',171
'11/19/2010',157
'11/20/2010',212
'11/21/2010',188
'11/22/2010',166
'11/23/2010',211
'11/24/2010',129
'11/25/2010',101
'11/26/2010',103
'11/27/2010',129
'11/28/2010',146
'11/29/2010',148
'11/30/2010',135
'12/01/2010',121
'12/02/2010',134
'12/03/2010',138
'12/04/2010',160
'12/05/2010',148
'12/06/2010',130
'12/07/2010',100
'12/08/2010',118
'12/09/2010',106
'12/10/2010',163
'12/11/2010',180
'12/12/2010',165
'12/13/2010',126
'12/14/2010',116
'12/15/2010',99
'12/16/2010',129
'12/17/2010',154
'12/18/2010',160
'12/19/2010',168
'12/20/2010',109
'12/21/2010',104
'12/22/2010',106
'12/23/2010',112
'12/24/2010',89
'12/25/2010',64
'12/26/2010',38
'12/27/2010',5
'12/28/2010',20
'12/29/2010',45
'12/30/2010',78
'12/31/2010',91
'01/01/2011',89
'01/02/2011',148
'01/03/2011',114
'01/04/2011',99
'01/05/2011',135
'01/06/2011',122
'01/07/2011',117
'01/08/2011',111
'01/09/2011',111
'01/10/2011',85
'01/11/2011',76
'01/12/2011',72
'01/13/2011',74
'01/14/2011',93
'01/15/2011',126
'01/16/2011',119
'01/17/2011',121
'01/18/2011',100
'01/19/2011',103
'01/20/2011',149
'01/21/2011',96
'01/22/2011',116
'01/23/2011',99
'01/24/2011',91
'01/25/2011',124
'01/26/2011',79
'01/27/2011',73
'01/28/2011',89
'01/29/2011',117
'01/30/2011',85
'01/31/2011',121
'02/01/2011',102
'02/02/2011',77
'02/03/2011',83
'02/04/2011',126
'02/05/2011',111
'02/06/2011',98
'02/07/2011',121
'02/08/2011',69
'02/09/2011',90
'02/10/2011',104
'02/11/2011',122
'02/12/2011',158
'02/13/2011',134
'02/14/2011',126
'02/15/2011',123
'02/16/2011',157
'02/17/2011',176
'02/18/2011',184
'02/19/2011',111
'02/20/2011',138
'02/21/2011',115
'02/22/2011',96
'02/23/2011',103
'02/24/2011',130
'02/25/2011',110
'02/26/2011',171
'02/27/2011',177
'02/28/2011',105
'03/01/2011',122
'03/02/2011',103
'03/03/2011',122
'03/04/2011',139
'03/05/2011',228
'03/06/2011',149
'03/07/2011',110
'03/08/2011',139
'03/09/2011',112
'03/10/2011',105
'03/11/2011',154
'03/12/2011',197
'03/13/2011',133
'03/14/2011',133
'03/15/2011',134
'03/16/2011',146
'03/17/2011',208
'03/18/2011',295
'03/19/2011',203
'03/20/2011',191
'03/21/2011',125
'03/22/2011',129
'03/23/2011',106
'03/24/2011',113
'03/25/2011',153
'03/26/2011',155
'03/27/2011',138
'03/28/2011',116
'03/29/2011',103
'03/30/2011',143
'03/31/2011',144
'04/01/2011',143
'04/02/2011',200
'04/03/2011',176
'04/04/2011',161
'04/05/2011',154
'04/06/2011',148
'04/07/2011',176
'04/08/2011',162
'04/09/2011',253
'04/10/2011',162
'04/11/2011',226
'04/12/2011',157
'04/13/2011',135
'04/14/2011',251
'04/15/2011',191
'04/16/2011',145
'04/17/2011',173
'04/18/2011',190
'04/19/2011',167
'04/20/2011',184
'04/21/2011',181
'04/22/2011',176
'04/23/2011',136
'04/24/2011',205
'04/25/2011',201
'04/26/2011',307
'04/27/2011',256
'04/28/2011',218
'04/29/2011',258
'04/30/2011',283
'05/01/2011',225
'05/02/2011',216
'05/03/2011',235
'05/04/2011',190
'05/05/2011',259
'05/06/2011',208
'05/07/2011',316
'05/08/2011',281
'05/09/2011',233
'05/10/2011',239
'05/11/2011',251
'05/12/2011',246
'05/13/2011',230
'05/14/2011',358
'05/15/2011',222
'05/16/2011',210
'05/17/2011',180
'05/18/2011',152
'05/19/2011',155
'05/20/2011',358
'05/21/2011',439
'05/22/2011',251
'05/23/2011',203
'05/24/2011',293
'05/25/2011',322
'05/26/2011',353
'05/27/2011',335
'05/28/2011',349
'05/29/2011',269
'05/30/2011',336
'05/31/2011',241
'06/01/2011',190
'06/02/2011',217
'06/03/2011',270
'06/04/2011',381
'06/05/2011',306
'06/06/2011',291
'06/07/2011',269
'06/08/2011',211
'06/09/2011',122
'06/10/2011',201
'06/11/2011',255
'06/12/2011',265
'06/13/2011',237
'06/14/2011',209
'06/15/2011',286
'06/16/2011',324
'06/17/2011',207
'06/18/2011',384
'06/19/2011',336
'06/20/2011',274
'06/21/2011',423
'06/22/2011',195
'06/23/2011',189
'06/24/2011',265
'06/25/2011',414
'06/26/2011',317
'06/27/2011',263
'06/28/2011',242
'06/29/2011',182
'06/30/2011',266
'07/01/2011',269
'07/02/2011',386
'07/03/2011',285
'07/04/2011',339
'07/05/2011',253
'07/06/2011',166
'07/07/2011',257
'07/08/2011',177
'07/09/2011',328
'07/10/2011',374
'07/11/2011',200
'07/12/2011',188
'07/13/2011',228
'07/14/2011',309
'07/15/2011',289
'07/16/2011',454
'07/17/2011',341
'07/18/2011',176
'07/19/2011',217
'07/20/2011',187
'07/21/2011',158
'07/22/2011',156
'07/23/2011',215
'07/24/2011',243
'07/25/2011',201
'07/26/2011',189
'07/27/2011',219
'07/28/2011',270
'07/29/2011',214
'07/30/2011',355
'07/31/2011',333
'08/01/2011',183
'08/02/2011',250
'08/03/2011',273
'08/04/2011',282
'08/05/2011',319
'08/06/2011',433
'08/07/2011',262
'08/08/2011',223
'08/09/2011',185
'08/10/2011',248
'08/11/2011',318
'08/12/2011',407
'08/13/2011',503
'08/14/2011',212
'08/15/2011',211
'08/16/2011',319
'08/17/2011',344
'08/18/2011',312
'08/19/2011',297
'08/20/2011',462
'08/21/2011',297
'08/22/2011',257
'08/23/2011',215
'08/24/2011',296
'08/25/2011',179
'08/26/2011',94
'08/27/2011',82
'08/28/2011',41
'08/29/2011',182
'08/30/2011',312
'08/31/2011',280
'09/01/2011',409
'09/02/2011',410
'09/03/2011',517
'09/04/2011',484
'09/05/2011',456
'09/06/2011',137
'09/07/2011',141
'09/08/2011',230
'09/09/2011',316
'09/10/2011',515
'09/11/2011',366
'09/12/2011',295
'09/13/2011',278
'09/14/2011',248
'09/15/2011',227
'09/16/2011',313
'09/17/2011',552
'09/18/2011',483
'09/19/2011',251
'09/20/2011',260
'09/21/2011',256
'09/22/2011',270
'09/23/2011',384
'09/24/2011',400
'09/25/2011',453
'09/26/2011',231
'09/27/2011',266
'09/28/2011',222
'09/29/2011',255
'09/30/2011',274
'10/01/2011',331
'10/02/2011',310
'10/03/2011',198
'10/04/2011',206
'10/05/2011',252
'10/06/2011',268
'10/07/2011',305
'10/08/2011',429
'10/09/2011',425
'10/10/2011',336
'10/11/2011',275
'10/12/2011',239
'10/13/2011',192
'10/14/2011',240
'10/15/2011',360
'10/16/2011',338
'10/17/2011',221
'10/18/2011',302
'10/19/2011',207
'10/20/2011',280
'10/21/2011',274
'10/22/2011',360
'10/23/2011',336
'10/24/2011',194
'10/25/2011',213
'10/26/2011',248
'10/27/2011',200
'10/28/2011',228
'10/29/2011',222
'10/30/2011',180
'10/31/2011',235
'11/01/2011',236
'11/02/2011',222
'11/03/2011',213
'11/04/2011',212
'11/05/2011',277
'11/06/2011',282
'11/07/2011',164
'11/08/2011',224
'11/09/2011',269
'11/10/2011',206
'11/11/2011',207
'11/12/2011',268
'11/13/2011',269
'11/14/2011',229
'11/15/2011',344
'11/16/2011',249
'11/17/2011',212
'11/18/2011',211
'11/19/2011',335
'11/20/2011',299
'11/21/2011',160
'11/22/2011',134
'11/23/2011',122
'11/24/2011',153
'11/25/2011',165
'11/26/2011',306
'11/27/2011',247
'11/28/2011',199
'11/29/2011',183
'11/30/2011',160
'12/01/2011',214
'12/02/2011',187
'12/03/2011',260
'12/04/2011',259
'12/05/2011',215
'12/06/2011',159
'12/07/2011',212
'12/08/2011',156
'12/09/2011',199
'12/10/2011',298
'12/11/2011',220
'12/12/2011',166
'12/13/2011',128
'12/14/2011',187
'12/15/2011',209
'12/16/2011',212
'12/17/2011',252
'12/18/2011',187
'12/19/2011',140
'12/20/2011',167
'12/21/2011',129
'12/22/2011',180
'12/23/2011',129
'12/24/2011',155
'12/25/2011',134
'12/26/2011',94
'12/27/2011',87
'12/28/2011',123
'12/29/2011',137
'12/30/2011',171
'12/31/2011',227
'01/01/2012',182
'01/02/2012',105
'01/03/2012',109
'01/04/2012',102
'01/05/2012',110
'01/06/2012',152
'01/07/2012',269
'01/08/2012',178
'01/09/2012',157
'01/10/2012',157
'01/11/2012',130
'01/12/2012',150
'01/13/2012',171
'01/14/2012',200
'01/15/2012',174
'01/16/2012',133
'01/17/2012',138
'01/18/2012',151
'01/19/2012',151
'01/20/2012',156
'01/21/2012',172
'01/22/2012',185
'01/23/2012',133
'01/24/2012',188
'01/25/2012',190
'01/26/2012',110
'01/27/2012',215
'01/28/2012',259
'01/29/2012',209
'01/30/2012',108
'01/31/2012',151
'02/01/2012',179
'02/02/2012',172
'02/03/2012',187
'02/04/2012',247
'02/05/2012',234
'02/06/2012',133
'02/07/2012',146
'02/08/2012',173
'02/09/2012',150
'02/10/2012',167
'02/11/2012',224
'02/12/2012',172
'02/13/2012',98
'02/14/2012',131
'02/15/2012',166
'02/16/2012',148
'02/17/2012',194
'02/18/2012',275
'02/19/2012',245
'02/20/2012',158
'02/21/2012',180
'02/22/2012',207
'02/23/2012',211
'02/24/2012',170
'02/25/2012',215
'02/26/2012',207
'02/27/2012',136
'02/28/2012',181
'02/29/2012',135
'03/01/2012',173
'03/02/2012',172
'03/03/2012',240
'03/04/2012',219
'03/05/2012',175
'03/06/2012',197
'03/07/2012',220
'03/08/2012',293
'03/09/2012',226
'03/10/2012',268
'03/11/2012',240
'03/12/2012',231
'03/13/2012',292
'03/14/2012',317
'03/15/2012',216
'03/16/2012',206
'03/17/2012',315
'03/18/2012',325
'03/19/2012',289
'03/20/2012',290
'03/21/2012',337
'03/22/2012',368
'03/23/2012',360
'03/24/2012',373
'03/25/2012',292
'03/26/2012',188
'03/27/2012',173
'03/28/2012',251
'03/29/2012',212
'03/30/2012',185
'03/31/2012',282
'04/01/2012',265
'04/02/2012',143
'04/03/2012',235
'04/04/2012',229
'04/05/2012',156
'04/06/2012',201
'04/07/2012',243
'04/08/2012',281
'04/09/2012',178
'04/10/2012',185
'04/11/2012',202
'04/12/2012',205
'04/13/2012',321
'04/14/2012',398
'04/15/2012',518
'04/16/2012',480
'04/17/2012',327
'04/18/2012',252
'04/19/2012',283
'04/20/2012',327
'04/21/2012',429
'04/22/2012',222
'04/23/2012',137
'04/24/2012',229
'04/25/2012',248
'04/26/2012',217
'04/27/2012',196
'04/28/2012',326
'04/29/2012',294
'04/30/2012',177
'05/01/2012',261
'05/02/2012',178
'05/03/2012',242
'05/04/2012',275
'05/05/2012',418
'05/06/2012',364
'05/07/2012',265
'05/08/2012',233
'05/09/2012',223
'05/10/2012',270
'05/11/2012',350
'05/12/2012',455
'05/13/2012',535
'05/14/2012',334
'05/15/2012',252
'05/16/2012',292
'05/17/2012',303
'05/18/2012',443
'05/19/2012',526
'05/20/2012',509
'05/21/2012',230
'05/22/2012',208
'05/23/2012',376
'05/24/2012',250
'05/25/2012',402
'05/26/2012',498
'05/27/2012',483
'05/28/2012',490
'05/29/2012',269
'05/30/2012',250
'05/31/2012',294
'06/01/2012',278
'06/02/2012',382
'06/03/2012',405
'06/04/2012',219
'06/05/2012',229
'06/06/2012',314
'06/07/2012',353
'06/08/2012',404
'06/09/2012',563
'06/10/2012',510
'06/11/2012',302
'06/12/2012',205
'06/13/2012',260
'06/14/2012',377
'06/15/2012',403
'06/16/2012',641
'06/17/2012',566
'06/18/2012',293
'06/19/2012',323
'06/20/2012',250
'06/21/2012',297
'06/22/2012',206
'06/23/2012',434
'06/24/2012',457
'06/25/2012',201
'06/26/2012',287
'06/27/2012',249
'06/28/2012',371
'06/29/2012',285
'06/30/2012',392
'07/01/2012',324
'07/02/2012',203
'07/03/2012',296
'07/04/2012',393
'07/05/2012',239
'07/06/2012',240
'07/07/2012',337
'07/08/2012',291
'07/09/2012',235
'07/10/2012',219
'07/11/2012',278
'07/12/2012',243
'07/13/2012',257
'07/14/2012',392
'07/15/2012',315
'07/16/2012',158
'07/17/2012',203
'07/18/2012',138
'07/19/2012',260
'07/20/2012',230
'07/21/2012',541
'07/22/2012',474
'07/23/2012',182
'07/24/2012',259
'07/25/2012',268
'07/26/2012',192
'07/27/2012',204
'07/28/2012',363
'07/29/2012',460
'07/30/2012',240
'07/31/2012',265
'08/01/2012',228
'08/02/2012',218
'08/03/2012',269
'08/04/2012',356
'08/05/2012',258
'08/06/2012',196
'08/07/2012',260
'08/08/2012',232
'08/09/2012',213
'08/10/2012',212
'08/11/2012',384
'08/12/2012',459
'08/13/2012',243
'08/14/2012',254
'08/15/2012',201
'08/16/2012',170
'08/17/2012',315
'08/18/2012',470
'08/19/2012',473
'08/20/2012',277
'08/21/2012',337
'08/22/2012',267
'08/23/2012',308
'08/24/2012',362
'08/25/2012',540
'08/26/2012',470
'08/27/2012',208
'08/28/2012',213
'08/29/2012',276
'08/30/2012',301
'08/31/2012',307
'09/01/2012',404
'09/02/2012',384
'09/03/2012',330
'09/04/2012',167
'09/05/2012',152
'09/06/2012',229
'09/07/2012',256
'09/08/2012',325
'09/09/2012',317
'09/10/2012',241
'09/11/2012',253
'09/12/2012',343
'09/13/2012',355
'09/14/2012',367
'09/15/2012',533
'09/16/2012',467
'09/17/2012',250
'09/18/2012',138
'09/19/2012',233
'09/20/2012',267
'09/21/2012',373
'09/22/2012',500
'09/23/2012',400
'09/24/2012',258
'09/25/2012',271
'09/26/2012',248
'09/27/2012',313
'09/28/2012',299
'09/29/2012',552
'09/30/2012',430
'10/01/2012',239
'10/02/2012',201
'10/03/2012',261
'10/04/2012',275
'10/05/2012',341
'10/06/2012',384
'10/07/2012',253
'10/08/2012',207
'10/09/2012',173
'10/10/2012',240
'10/11/2012',230
'10/12/2012',217
'10/13/2012',299
'10/14/2012',272
'10/15/2012',164
'10/16/2012',204
'10/17/2012',272
'10/18/2012',246
'10/19/2012',252
'10/20/2012',453
'10/21/2012',257
'10/22/2012',233
'10/23/2012',249
'10/24/2012',227
'10/25/2012',288
'10/26/2012',356
'10/27/2012',482
'10/28/2012',190
'10/29/2012',46
'10/30/2012',13
'10/31/2012',23
'11/01/2012',55
'11/02/2012',63
'11/03/2012',100
'11/04/2012',112
'11/05/2012',55
'11/06/2012',63
'11/07/2012',67
'11/08/2012',80
'11/09/2012',124
'11/10/2012',226
'11/11/2012',192
'11/12/2012',169
'11/13/2012',119
'11/14/2012',162
'11/15/2012',162
'11/16/2012',170
'11/17/2012',218
'11/18/2012',173
'11/19/2012',148
'11/20/2012',137
'11/21/2012',131
'11/22/2012',147
'11/23/2012',141
'11/24/2012',173
'11/25/2012',131
'11/26/2012',118
'11/27/2012',136
'11/28/2012',149
'11/29/2012',166
'11/30/2012',167
'12/01/2012',222
'12/02/2012',208
'12/03/2012',164
'12/04/2012',163
'12/05/2012',177
'12/06/2012',163
'12/07/2012',175
'12/08/2012',255
'12/09/2012',170
'12/10/2012',147
'12/11/2012',177
'12/12/2012',204
'12/13/2012',189
'12/14/2012',188
'12/15/2012',265
'12/16/2012',181
'12/17/2012',116
'12/18/2012',139
'12/19/2012',160
'12/20/2012',178
'12/21/2012',142
'12/22/2012',167
'12/23/2012',144
'12/24/2012',112
'12/25/2012',49
'12/26/2012',89
'12/27/2012',97
'12/28/2012',133
'12/29/2012',153
'12/30/2012',162
'12/31/2012',117
'01/01/2013',91
'01/02/2013',125
'01/03/2013',135
'01/04/2013',123
'01/05/2013',205
'01/06/2013',150
'01/07/2013',129
'01/08/2013',132
'01/09/2013',178
'01/10/2013',150
'01/11/2013',125
'01/12/2013',241
'01/13/2013',232
'01/14/2013',142
'01/15/2013',120
'01/16/2013',143
'01/17/2013',156
'01/18/2013',166
'01/19/2013',252
'01/20/2013',165
'01/21/2013',144
'01/22/2013',118
'01/23/2013',126
'01/24/2013',145
'01/25/2013',159
'01/26/2013',153
'01/27/2013',186
'01/28/2013',152
'01/29/2013',144
'01/30/2013',175
'01/31/2013',184
'02/01/2013',175
'02/02/2013',200
'02/03/2013',170
'02/04/2013',129
